1020715,2019-05-18 10:00:00,2019-05-18 11:30:00,Walking Tour - Churches & Temples
1020717,2019-05-22 10:00:00,2019-05-22 11:30:00,Walking Tour - New Era/New Politics
1020701,2019-05-25 10:00:00,2019-05-25 11:30:00,Walking Tour - Old Oakland
1020719,2019-05-29 10:00:00,2019-05-29 11:30:00,Walking Tour - Chinatown
1020721,2019-06-01 10:00:00,2019-06-01 11:30:00,Walking Tour - Preservation Park
1020725,2019-06-05 10:00:00,2019-06-05 11:30:00,Walking Tour - Waterfront
1020727,2019-06-08 10:00:00,2019-06-08 11:30:00,Walking Tour - Uptown to the Lake
1020745,2019-06-10 18:00:00,2019-06-10 20:00:00,Public Hearing on Poverty in Alameda County
1020729,2019-06-12 10:00:00,2019-06-12 11:30:00,Walking Tour - City Center
1020731,2019-06-15 10:00:00,2019-06-15 11:30:00,Walking Tour - Churches & Temples
1020733,2019-06-19 10:00:00,2019-06-19 11:30:00,Walking Tour - New Era/New Politics
1020735,2019-06-22 10:00:00,2019-06-22 11:30:00,Walking Tour - Old Oakland
1020737,2019-06-26 10:00:00,2019-06-26 11:30:00,Walking Tour - Chinatown
1020749,2019-06-27 16:30:00,2019-06-28 19:30:00,Year-End Celebration
1020723,2019-06-29 10:00:00,2019-06-29 11:30:00,Walking Tour - Preservation Park
1020753,2019-07-09 05:30:00,2019-07-10 05:30:00,Rent Adjustment Program's Tenant Rights Workshop July 9th, 2019 5:30 pm to 7:00pm
1020747,2019-07-13 12:00:00,2019-07-13 14:30:00,East Oakland Neighborhoods Initiative Final Convening
1020711,2019-07-17 15:30:00,2019-07-17 19:30:00,Soft Story Retrofit Workshop - For Property Owners & Tenants
1020743,2019-07-25 08:00:00,2019-07-25 11:30:00,Hidden Figures: The Power of Untapped Talent Pools - Postponed
1020751,2019-07-30 17:30:00,2019-07-30 19:00:00,Rent Adjustment Program's Evictions in Oakland Workshop July 30th, 2019 5:30pm to 7pm
1020741,2019-08-06 19:00:00,2019-08-06 21:00:00,National Night Out 2019
1020755,2019-09-02 00:00:00,2019-09-02 23:59:59,Labor Day
1020757,2019-09-09 00:00:00,2019-09-09 23:59:59,Admissions Day
1020777,2019-09-10 17:30:00,2019-09-10 19:00:00,Tenant Workshop September 10th 2019
1020767,2019-09-17 17:00:00,2019-09-17 18:30:00,How to Save Money on your Utilities: a Small Business Workshop
1020769,2019-09-19 17:00:00,2019-09-19 20:00:00,September 19, 2019 Thursday at Latham Square - Downtown Oakland Specific Plan
1020779,2019-09-24 17:30:00,2019-09-24 19:00:00,Small Property Owner Workshop September 24th 2019
1020771,2019-09-29 10:00:00,2019-09-29 15:00:00,September 29, 2019 Jack London Farmer's Market - Downtown Oakland Specific Plan
1020789,2019-10-01 00:00:00,2019-10-01 23:59:59,Child Care Enrollment - Head Start for 3 to 5 year olds. 10 slots remaining.
1020783,2019-10-01 17:00:00,2019-10-01 19:00:00,Open Door Access for All: Tips & Resources to Serve Customers with Disabilities
1020789,2019-10-02 00:00:00,2019-10-02 23:59:59,Child Care Enrollment - Head Start for 3 to 5 year olds. 10 slots remaining.
1020789,2019-10-03 00:00:00,2019-10-03 23:59:59,Child Care Enrollment - Head Start for 3 to 5 year olds. 10 slots remaining.
1020775,2019-10-04 17:00:00,2019-10-04 20:00:00,October 4, 2019 Lincoln Summer Nights - Downtown Oakland Specific Plan
1020781,2019-10-08 17:30:00,2019-10-08 19:00:00,Taller de Derechos Del Inquilino (Tenants Rights Workshop in Spanish)
1020793,2019-10-19 10:00:00,2019-10-19 12:00:00,90th Avenue Community Clean-Up
1020791,2019-10-21 18:00:00,2019-10-21 20:00:00,Monday, October 21, 2019: Learn About Permits for Sidewalk Mobile Food Vending in Oakland
1020785,2019-10-27 10:00:00,2019-10-27 11:30:00,OPRYD's "Color of Humanity TM" - Paper Doll Making Workshop
1020787,2019-10-27 13:00:00,2019-10-27 16:00:00,OPRYD "Color of Humanity TM" -Mixed Media Doll Making Workdshop
1020797,2019-11-06 10:00:00,2019-11-06 12:00:00,Mayors Commission on Aging AGENDA November 6, 2019
1020795,2019-11-06 10:00:00,2019-11-06 12:30:00,Mayors Commission on Aging AGENDA November 6, 2019
1020759,2019-11-11 21:00:00,2019-11-11 22:00:00,Veteran's Day
1020793,2019-11-16 10:00:00,2019-11-16 12:00:00,90th Avenue Community Clean-Up
1020843,2019-11-21 18:00:00,2019-11-21 20:00:00,Howard Terminal Community Benefits Agreement and Steering Committee Information Session
1020807,2019-11-25 13:00:00,2019-11-25 16:00:00,The City of Oakland's Coat Drive
1020809,2019-11-26 11:00:00,2019-11-26 14:00:00,The City of Oakland’s 28th Annual Thanksgiving Dinner & Coat Give-Away
1020761,2019-11-28 00:00:00,2019-11-28 23:59:59,Thanksgiving Day
1020763,2019-11-29 00:00:00,2019-11-29 23:59:59,Day After Thanksgiving
1020811,2019-12-04 10:00:00,2019-12-04 12:00:00,Mayors Commission on Aging - DECEMBER 4, 2019
1020819,2019-12-04 10:00:00,2019-12-04 12:00:00,COPY COA MINUTES 12-4-2019
1020813,2019-12-07 10:00:00,2019-12-08 16:00:00,Sugar-Sweetened Beverage Community Advisory Board Retreat, December 7, 2019 Special Meeting (2)
1020841,2019-12-07 10:00:00,2019-12-07 12:00:00,Howard Terminal Community Benefits Agreement and Steering Committee Information Session
1020805,2019-12-08 12:00:00,2019-12-08 16:00:00,Studio One Annual Pottery and Craft Sale
1020801,2019-12-21 10:00:00,2019-12-21 12:00:00,90th Avenue Community Clean-Up
1020765,2019-12-25 00:00:00,2019-12-25 23:59:59,Christmas Day
1020821,2020-01-06 10:00:00,2020-01-06 12:00:00,COPY COA MINUTES 12-4-2019
1020815,2020-01-08 10:00:00,2020-01-08 12:00:00,AGENDA JANUARY - SPECIAL MEETING MAYORS COA 1-8-2020
1020817,2020-01-08 10:00:00,2020-01-08 12:00:00,AGENDA JANUARY - SPECIAL MEETING MAYORS COA 1-8-2020
1020839,2020-01-11 11:30:00,2020-01-11 15:00:00,Howard Terminal Community Benefits Agreement (CBA) Orientation
1020803,2020-01-18 10:00:00,2020-01-18 12:00:00,90th Avenue Community Clean-Up
1020825,2020-01-22 10:00:00,2020-01-22 12:00:00,MAKE GREEN GO UPCOMING EQUITY WORKSHOP - METRC Compliance
1020829,2020-01-22 18:30:00,2020-01-22 20:30:00,Howard Terminal CBA Topic Cohort Meeting
1020827,2020-01-28 13:30:00,2020-01-28 16:00:00,Staff Report for the Equity Grant Funds
1020823,2020-01-30 10:00:00,2020-01-30 12:00:00,Cannabis Incubation Mixer
1020833,2020-02-05 09:00:00,2020-02-05 15:00:00,MAYORS COA AGENDA - SPECIAL MEETING - 2-5-2020
1020831,2020-02-10 18:30:00,2020-02-10 20:30:00,Howard Terminal CBA Topic Cohort Meeting
1020837,2020-02-11 17:00:00,2020-02-11 19:00:00,Tenant Workshop
1020835,2020-02-22 10:00:00,2020-02-22 14:00:00,Howard Terminal Community Benefits Agreement ("CBA") Steering Committee Convening Meeting
1020845,2020-03-14 12:00:00,2020-03-14 16:00:00,Bay Area Summer Camp Jam
1020849,2020-03-17 17:30:00,2020-03-17 19:00:00,(CANCELLED) Rent Adjustment Program Property Owner 101 Workshop
1020851,2020-03-19 14:00:00,2020-03-19 15:00:00,POSTPONED - Dedication Event - Gates for the Gardens at Lake Merritt
1020853,2020-03-26 18:00:00,2020-03-26 20:00:00,Oakland Online Town Hall
1020857,2020-03-27 11:00:00,2020-03-27 12:00:00,Special City Council Meeting (open session)
